street,number,zip,city,latitude,longitude
Bismarckstraße ,8,25336,Klein Nordende,53.7352962,9.659231
Holstenplatz,2,25335,Elmshorn ,53.7545632,9.657332
Raboisenstrasse,43,25336,Elmshorn ,53.74065,9.65198
Am Butterberg,10,25336,Klein Nordende,53.7288261,9.6555449
Schulstraße ,30,25336,Klein Nordende,53.72708,9.65803
Dorfstrasse,80,25336,Klein Nordende,53.7260177,9.6638783
Schulstraße ,35,25336,Klein Nordende,53.72569,9.65787
Schulstraße ,58,25336,Klein Nordende,53.7251,9.6538501
Schulstraße ,1,25336,Klein Nordende,53.72664,9.6628699
Marktplatz,1,70734,Fellbach,48.80852,9.27575
Mühlsteig,23,87616,Marktoberdorf,47.77319,10.61125
Bernsbacher Straße,1,65232,Taunusstein,50.1347186,8.1508693
Babelsberger Straße,,14473,Potsdam,52.391932,13.066576
Breite Straße,13,14467,Potsdam,52.3959643,13.0507919
Friedrich-Ebert-Straße,80,14469,Potsdam,52.406473,13.0563359
Hinter den Höfen,18,31628,Landesbergen,52.557969,9.121894
Pestalozzistraße,50,70736,Fellbach,48.8179489,9.2755116
Reuttierstraße,39,89231,Neu-Ulm,48.3939448,10.0102487
Kantstraße,8,89231,Neu-Ulm,48.399895,10.011091
Ohechaussee ,169,22848,Norderstedt,53.6710445,9.9828451
Holzmarkt,1a,25712,Burg,53.997831,9.263352
Am Sportplatz ,1,25712,Burg,54.003001,9.255117
Holzmarkt,7,25712,Burg,53.997912,9.262138
Georg-Wilhelm-Str ,189,21107,Hamburg ,53.4949662,9.9900855
Lesumbroker Landstraße,70,28719,Bremen,53.15799,8.6933
Berliner Str. ,2,73732,Esslingen am Neckar,48.7359543,9.2989927
Vertrekpassage,3,1118 AP,Schiphol,52.31067,4.76068
Hauptstraße,36,57562,Herdorf,50.778654,7.9509242
Kölner Straße,53,57290,Neunkirchen,50.7946496,8.0113466
Hauptstr,31,87787,Wolfertschwenden,47.8922769,10.2666261
Tecklenburger Weg,22,33428,Harsewinkel,51.9650537,8.2159673
Bremer Heerstraße,30,27711,Osterholz-Scharmbeck,53.2533771,8.7106496
Hölzleweg,4,86850,Tronetshofen,48.267335,10.647492
Plattenweg,1,86850,Siegertshofen,48.255095,10.64097
Angerstr.,14,86866,Mickhausen,48.213049,10.617636
Eichenstr.,10,86866,Mickhausen,48.229111,10.634461
Schlosshof,1,86866,Mickhausen,48.241374,10.638585
Efeuweg,2,63741,Aschaffenburg,49.962442,9.126478
Sachsenhausen ,16,63773,Goldbach ,49.99838896,9.182236827
Am Badesteig,5,24576,Bad Bramstedt,53.918553,9.887192
Bergstraße ,7,83410,Laufen,47.922337,12.893957
Rosenheimer Straße,15,81667,München,48.1296718,11.5924092
Großer Moorweg,30,25436,Tornesch,53.6912762,9.7325076
Wilhelm-Varnholt-Allee,5,68165,Mannheim,49.4763049,8.4971416
Leipziger Straße,1,25551,Hohenlockstedt,53.968043,9.6180371
Finnische Allee,16,25551,Hohenlockstedt,53.96743,9.61927
Finnische Allee,22,25551,Hohenlockstedt,53.96926,9.62106
A8,,70599,Stuttgart,48.69422604,9.195724055
Christoph-Probst-Straße,16,80805,München,48.1837099,11.6094615
Kaiserallee,6a,23570,Lübeck,53.9673138,10.8803755
